regione,pil_totale,pil_pro_capite
Piemonte,129322.0,30300.0
Valle d'Aosta,4436.0,35200.0
Liguria,48287.0,31900.0
Lombardia,366541.0,38200.0
Trentino Alto Adige,20552.0,39200.0
Veneto,155515.0,33100.0
Friuli Venezia Giulia,36935.0,31000.0
Emilia Romagna,153997.0,35300.0
Toscana,112239.0,30500.0
Umbria,21341.0,24300.0
Marche,40988.0,26600.0
Lazio,185935.0,32900.0
Abruzzo,31959.0,24400.0
Molise,6233.0,19500.0
Campania,106753.0,18200.0
Puglia,72406.0,18000.0
Basilicata,11782.0,20800.0
Calabria,33054.0,17100.0
Sicilia,86998.0,17400.0
Sardegna,33556.0,20300.0
